x,y
763500,5960000
773000,5960000
765500,5960000
766000,5960000
766500,5960000
767000,5960000
767500,5960000
768000,5960000
768500,5960000
769000,5960000
769500,5960000
770000,5960000
770500,5960000
771000,5960000
771500,5960000
772000,5960000
762500,5960500
763000,5960500
763500,5960500
764000,5960500
764500,5960500
765500,5960500
766000,5960500
766500,5960500
767000,5960500
767500,5960500
768000,5960500
768500,5960500
769000,5960500
769500,5960500
770000,5960500
770500,5960500
771000,5960500
771500,5960500
772000,5960500
772500,5960500
773000,5960500
773500,5960500
774000,5960500
765000,5961000
762500,5961000
763000,5961000
763500,5961000
764000,5961000
764500,5961000
765500,5961000
766000,5961000
766500,5961000
767000,5961000
767500,5961000
768000,5961000
768500,5961000
769000,5961000
769500,5961000
770000,5961000
770500,5961000
771000,5961000
771500,5961000
772000,5961000
772500,5961000
773000,5961000
773500,5961000
774000,5961000
762000,5961500
765000,5961500
762500,5961500
763000,5961500
763500,5961500
764000,5961500
764500,5961500
765500,5961500
766000,5961500
766500,5961500
767000,5961500
767500,5961500
768000,5961500
768500,5961500
769000,5961500
769500,5961500
770000,5961500
770500,5961500
771000,5961500
771500,5961500
772000,5961500
772500,5961500
773000,5961500
773500,5961500
774000,5961500
762500,5962000
763000,5962000
763500,5962000
764000,5962000
764500,5962000
765000,5962000
765500,5962000
766000,5962000
766500,5962000
767000,5962000
767500,5962000
768000,5962000
768500,5962000
769000,5962000
769500,5962000
770000,5962000
770500,5962000
771000,5962000
771500,5962000
772000,5962000
772500,5962000
773000,5962000
773500,5962000
774000,5962000
762500,5962500
763000,5962500
763500,5962500
764000,5962500
764500,5962500
765000,5962500
765500,5962500
766000,5962500
766500,5962500
767000,5962500
767500,5962500
768000,5962500
768500,5962500
769000,5962500
769500,5962500
770000,5962500
770500,5962500
771000,5962500
771500,5962500
772000,5962500
772500,5962500
773000,5962500
773500,5962500
774000,5962500
763500,5963000
764000,5963000
764500,5963000
765000,5963000
765500,5963000
766000,5963000
766500,5963000
767000,5963000
767500,5963000
768000,5963000
768500,5963000
769000,5963000
769500,5963000
770000,5963000
770500,5963000
771000,5963000
771500,5963000
772000,5963000
772500,5963000
773000,5963000
773500,5963500
764500,5963500
765000,5963500
765500,5963500
766000,5963500
766500,5963500
767000,5963500
767500,5963500
768000,5963500
768500,5963500
769000,5963500
769500,5963500
770000,5963500
770500,5963500
771000,5963500
771500,5963500
772000,5963500
772500,5963500
773000,5963500
764500,5964000
765000,5964000
765500,5964000
766000,5964000
766500,5964000
767000,5964000
767500,5964000
768000,5964000
768500,5964000
769000,5964000
769500,5964000
770000,5964000
770500,5964000
771000,5964000
771500,5964000
772000,5964000
772500,5964000
773000,5964000
765000,5964500
765500,5964500
766000,5964500
766500,5964500
767000,5964500
767500,5964500
768000,5964500
768500,5964500
769000,5964500
769500,5964500
770000,5964500
770500,5964500
771000,5964500
771500,5964500
772000,5964500
772500,5964500
773000,5964500
766000,5965000
766500,5965000
767000,5965000
767500,5965000
768000,5965000
768500,5965000
769000,5965000
769500,5965000
770000,5965000
770500,5965000
771000,5965000
771500,5965000
772000,5965000
767500,5965500
768000,5965500
768500,5965500
769000,5965500
769500,5965500
770000,5965500
770500,5965500
771000,5965500
771500,5965500
772000,5965500
771000,5966000
767500,5966000
768000,5966000
768500,5966000
769000,5966000
769500,5966000
770000,5966000
768000,5966500
768500,5966500
769000,5966500
769500,5966500
770000,5966500
769000,5967000
