x,y,gridcoords
766000.000000000000000,5951000.000000000000000,766000-5951000
766000.000000000000000,5952000.000000000000000,766000-5952000
766000.000000000000000,5953000.000000000000000,766000-5953000
766000.000000000000000,5954000.000000000000000,766000-5954000
766000.000000000000000,5955000.000000000000000,766000-5955000
766000.000000000000000,5956000.000000000000000,766000-5956000
766000.000000000000000,5956500.000000000000000,766000-5956500
766000.000000000000000,5957000.000000000000000,766000-5957000
766000.000000000000000,5957500.000000000000000,766000-5957500
766000.000000000000000,5958000.000000000000000,766000-5958000
766000.000000000000000,5959000.000000000000000,766000-5959000
766000.000000000000000,5960000.000000000000000,766000-5960000
766000.000000000000000,5961000.000000000000000,766000-5961000
766000.000000000000000,5962000.000000000000000,766000-5962000
766000.000000000000000,5962500.000000000000000,766000-5962500
766000.000000000000000,5963000.000000000000000,766000-5963000
766000.000000000000000,5963500.000000000000000,766000-5963500
766000.000000000000000,5964000.000000000000000,766000-5964000
766000.000000000000000,5947000.000000000000000,766000-5947000
766000.000000000000000,5947500.000000000000000,766000-5947500
766000.000000000000000,5948000.000000000000000,766000-5948000
766000.000000000000000,5956500.000000000000000,766000-5956500
766000.000000000000000,5957000.000000000000000,766000-5957000
766500.000000000000000,5946500.000000000000000,766500-5946500
766500.000000000000000,5947000.000000000000000,766500-5947000
766500.000000000000000,5947500.000000000000000,766500-5947500
766500.000000000000000,5948000.000000000000000,766500-5948000
766500.000000000000000,5948500.000000000000000,766500-5948500
766500.000000000000000,5949000.000000000000000,766500-5949000
766500.000000000000000,5949500.000000000000000,766500-5949500
766500.000000000000000,5957000.000000000000000,766500-5957000
766500.000000000000000,5961000.000000000000000,766500-5961000
766500.000000000000000,5963000.000000000000000,766500-5963000
766500.000000000000000,5947000.000000000000000,766500-5947000
766500.000000000000000,5947500.000000000000000,766500-5947500
767000.000000000000000,5946500.000000000000000,767000-5946500
767000.000000000000000,5947000.000000000000000,767000-5947000
767000.000000000000000,5947500.000000000000000,767000-5947500
767000.000000000000000,5948000.000000000000000,767000-5948000
767000.000000000000000,5948500.000000000000000,767000-5948500
767000.000000000000000,5949000.000000000000000,767000-5949000
767000.000000000000000,5949500.000000000000000,767000-5949500
767000.000000000000000,5950000.000000000000000,767000-5950000
767000.000000000000000,5951000.000000000000000,767000-5951000
